Day,Month,date,Year, Temperature (øF) Max,Temperature (øF) Min,Dew Point (øF) Max,Dew Point (øF) Min,Humidity Max,Humidity Min,Wind Speed Max, Wind Speed Min,Pressure Max,Pressure Min
13,10,13.10.2004,2004,93,66,66,39,88,15,13,0,30,0
14,10,14.10.2004,2004,91,70,70,55,88,29,12,0,30,0
15,10,15.10.2004,2004,91,72,72,66,83,49,14,0,30,0
16,10,16.10.2004,2004,90,77,84,72,89,0,14,0,30,30
17,10,17.10.2004,2004,88,0,73,0,83,0,12,0,30,0
18,10,18.10.2004,2004,93,79,73,54,83,26,14,0,30,30
19,10,19.10.2004,2004,91,79,73,64,83,41,14,0,30,0
20,10,20.10.2004,2004,91,75,75,61,94,51,13,0,30,30
21,10,21.10.2004,2004,99,75,68,57,74,28,9,0,30,30
22,10,22.10.2004,2004,97,73,68,46,69,18,13,0,30,0
23,10,23.10.2004,2004,97,73,70,46,78,18,15,0,30,30
24,10,24.10.2004,2004,95,75,72,66,78,41,12,0,30,0
25,10,25.10.2004,2004,95,72,75,48,100,23,12,0,30,30
26,10,26.10.2004,2004,95,70,66,48,73,22,9,0,30,30
27,10,27.10.2004,2004,95,0,75,0,83,0,7,0,30,0
28,10,28.10.2004,2004,93,70,66,45,83,19,12,0,30,0
29,10,29.10.2004,2004,91,72,66,39,73,16,20,0,30,0
30,10,30.10.2004,2004,91,0,52,0,43,0,20,0,30,0
31,10,31.10.2004,2004,91,0,54,0,56,0,10,0,30,30
11,10,11.10.2004,2004,86,86,50,50,29,29,6,6,30,0
1,11,01.11.2004,2004,91,64,68,41,74,17,7,0,30,0
2,11,02.11.2004,2004,93,66,64,41,78,16,12,0,30,0
3,11,03.11.2004,2004,93,0,57,0,59,0,14,0,30,30
4,11,04.11.2004,2004,93,0,48,0,38,0,10,0,30,30
5,11,05.11.2004,2004,91,64,52,0,46,12,8,0,30,0
6,11,06.11.2004,2004,93,70,52,30,44,11,9,0,30,0
7,11,07.11.2004,2004,91,64,57,28,57,10,12,0,30,30
8,11,08.11.2004,2004,91,66,61,37,73,15,12,0,30,30
9,11,09.11.2004,2004,93,64,59,37,77,14,8,0,30,30
10,11,10.11.2004,2004,91,0,70,0,78,0,9,0,30,0
11,11,11.11.2004,2004,90,0,73,0,100,0,9,0,30,0
12,11,12.11.2004,2004,95,66,70,46,100,19,9,0,30,0
13,11,13.11.2004,2004,95,0,57,0,64,0,7,0,30,0
14,11,14.11.2004,2004,93,64,63,36,61,13,8,0,30,30
15,11,15.11.2004,2004,93,0,64,0,65,0,10,0,30,30
16,11,16.11.2004,2004,91,0,64,0,69,0,8,0,30,30
17,11,17.11.2004,2004,88,0,72,0,89,0,9,0,30,0
18,11,18.11.2004,2004,93,0,72,0,94,0,81,0,56,30
19,11,19.11.2004,2004,90,0,68,0,88,0,12,0,30,0
20,11,20.11.2004,2004,86,64,68,61,88,43,8,0,30,30
21,11,21.11.2004,2004,88,0,70,0,88,0,12,0,30,0
22,11,22.11.2004,2004,88,0,70,0,88,0,10,0,30,0
23,11,23.11.2004,2004,86,70,66,64,83,51,9,0,30,0
24,11,24.11.2004,2004,88,0,66,0,88,0,9,0,30,0
25,11,25.11.2004,2004,88,0,66,0,94,0,8,0,30,0
26,11,26.11.2004,2004,90,66,66,48,88,25,9,0,30,0
27,11,27.11.2004,2004,88,68,61,50,73,29,12,0,30,0
28,11,28.11.2004,2004,90,70,61,45,64,21,9,0,30,30
29,11,29.11.2004,2004,88,63,64,46,73,29,12,0,30,0
30,11,30.11.2004,2004,88,73,70,45,88,22,12,0,30,30
1,12,01.12.2004,2004,84,63,54,37,55,20,17,0,30,0
2,12,02.12.2004,2004,84,66,52,30,53,16,20,0,30,0
3,12,03.12.2004,2004,81,63,48,36,55,21,21,0,30,0
4,12,04.12.2004,2004,84,64,57,37,57,19,12,0,30,0
5,12,05.12.2004,2004,84,66,55,39,64,23,8,0,30,0
6,12,06.12.2004,2004,84,63,61,37,65,22,69,0,30,0
7,12,07.12.2004,2004,82,66,61,34,78,17,6,0,30,0
8,12,08.12.2004,2004,93,61,54,0,64,5,14,0,30,0
9,12,09.12.2004,2004,86,63,57,27,60,16,9,0,30,0
10,12,10.12.2004,2004,88,61,59,0,64,8,9,0,0,0
11,12,11.12.2004,2004,88,0,57,0,73,0,7,0,30,0
12,12,12.12.2004,2004,90,0,48,0,49,0,14,0,30,0
13,12,13.12.2004,2004,88,0,54,0,44,0,14,0,30,0
14,12,14.12.2004,2004,86,63,59,36,73,19,9,0,30,30
15,12,15.12.2004,2004,86,0,66,0,88,0,8,0,30,30
16,12,16.12.2004,2004,90,63,64,50,94,26,7,0,30,0
17,12,17.12.2004,2004,90,61,59,39,82,19,7,0,30,0
18,12,18.12.2004,2004,88,59,63,18,69,8,12,0,30,0
19,12,19.12.2004,2004,81,72,64,0,73,9,21,0,30,0
20,12,20.12.2004,2004,82,61,48,0,49,12,12,0,30,30
21,12,21.12.2004,2004,79,57,46,0,51,13,15,0,30,0
22,12,22.12.2004,2004,79,0,165,0,56,0,14,0,30,0
23,12,23.12.2004,2004,81,0,55,0,55,0,10,0,30,30
24,12,24.12.2004,2004,79,59,61,36,78,22,23,0,30,30
25,12,25.12.2004,2004,79,0,45,0,55,0,14,0,30,30
26,12,26.12.2004,2004,79,55,45,28,63,17,8,0,30,0
27,12,27.12.2004,2004,79,0,43,0,51,0,12,0,30,0
28,12,28.12.2004,2004,81,57,46,0,46,13,16,0,30,0
29,12,29.12.2004,2004,77,50,41,34,62,21,22,0,30,0
30,12,30.12.2004,2004,77,63,63,37,88,24,17,0,30,0
31,12,31.12.2004,2004,64,57,64,27,88,0,28,0,30,0
1,1,01.01.2005,2005,73,54,41,12,54,10,18,0,30,0
2,1,02.01.2005,2005,75,54,46,39,72,27,9,0,30,0
3,1,03.01.2005,2005,73,54,46,43,77,35,12,0,30,0
4,1,04.01.2005,2005,75,55,46,36,59,24,20,0,30,0
5,1,05.01.2005,2005,77,57,57,43,77,34,12,0,30,0
6,1,06.01.2005,2005,79,57,57,45,88,34,10,0,30,0
7,1,07.01.2005,2005,81,59,50,43,72,26,14,0,30,0
8,1,08.01.2005,2005,81,59,66,45,83,32,10,0,30,0
9,1,09.01.2005,2005,82,66,64,34,94,17,12,0,30,30
10,1,10.01.2005,2005,79,0,46,0,59,0,10,0,30,0
11,1,11.01.2005,2005,77,52,37,16,51,11,9,0,30,0
12,1,12.01.2005,2005,79,52,39,0,41,11,10,0,30,30
13,1,13.01.2005,2005,79,55,52,0,56,0,8,0,30,30
14,1,14.01.2005,2005,77,59,52,36,77,26,12,0,30,30
15,1,15.01.2005,2005,79,59,45,19,45,13,16,0,30,0
16,1,16.01.2005,2005,77,57,48,0,56,21,10,0,30,0
17,1,17.01.2005,2005,77,57,48,37,63,28,9,0,30,30
18,1,18.01.2005,2005,77,52,43,0,63,21,10,0,30,0
19,1,19.01.2005,2005,77,43,48,19,72,12,12,0,30,0
20,1,20.01.2005,2005,77,55,46,0,44,12,10,0,30,0
21,1,21.01.2005,2005,79,0,64,0,78,0,16,0,30,0
22,1,22.01.2005,2005,79,59,64,41,83,32,12,0,30,30
23,1,23.01.2005,2005,73,57,52,0,77,19,15,0,30,30
24,1,24.01.2005,2005,73,61,55,28,82,21,9,0,30,0
25,1,25.01.2005,2005,66,55,55,50,88,60,23,0,30,0
26,1,26.01.2005,2005,73,52,52,41,82,33,14,0,30,0
27,1,27.01.2005,2005,73,57,52,0,77,12,16,0,30,0
28,1,28.01.2005,2005,73,50,39,12,62,10,13,0,30,0
29,1,29.01.2005,2005,70,55,41,23,55,27,21,3,30,30
30,1,30.01.2005,2005,72,54,43,0,59,15,17,0,30,0
31,1,31.01.2005,2005,75,54,43,0,67,15,16,0,30,0
1,2,01.02.2005,2005,77,54,46,0,59,21,12,0,30,0
2,2,02.02.2005,2005,77,50,57,43,82,39,9,0,30,0
3,2,03.02.2005,2005,77,57,63,50,82,54,14,0,30,30
4,2,04.02.2005,2005,79,0,64,0,83,0,16,0,30,0
5,2,05.02.2005,2005,81,66,66,61,94,51,13,0,30,30
6,2,06.02.2005,2005,81,66,66,55,88,47,17,0,30,0
7,2,07.02.2005,2005,81,70,68,61,83,54,17,0,30,0
8,2,08.02.2005,2005,79,64,66,55,88,57,14,0,30,30
9,2,09.02.2005,2005,81,63,66,52,83,53,12,0,30,0
10,2,10.02.2005,2005,81,64,66,54,88,42,21,0,30,0
11,2,11.02.2005,2005,72,63,68,54,100,60,12,0,30,30
12,2,12.02.2005,2005,81,66,81,61,100,0,9,0,30,0
13,2,13.02.2005,2005,81,57,64,61,88,0,10,0,30,0
14,2,14.02.2005,2005,79,66,68,61,88,61,15,0,30,0
15,2,15.02.2005,2005,82,-13,70,0,88,0,18,8,30,0
16,2,16.02.2005,2005,77,63,41,0,35,7,21,7,30,0
17,2,17.02.2005,2005,72,0,41,0,35,0,18,0,30,0
18,2,18.02.2005,2005,66,50,25,1,35,8,24,2,30,0
19,2,19.02.2005,2005,70,0,21,0,24,0,17,0,30,0
20,2,20.02.2005,2005,73,48,34,0,50,8,12,0,30,0
21,2,21.02.2005,2005,75,54,37,0,42,12,14,0,32,30
22,2,22.02.2005,2005,79,50,52,0,62,18,7,0,30,0
23,2,23.02.2005,2005,81,0,61,0,73,0,12,0,30,30
24,2,24.02.2005,2005,84,64,61,48,83,32,15,0,30,0
25,2,25.02.2005,2005,84,66,66,57,88,42,14,0,30,0
26,2,26.02.2005,2005,88,64,64,36,88,18,14,0,30,30
27,2,27.02.2005,2005,84,70,59,48,60,33,9,0,30,0
28,2,28.02.2005,2005,86,0,61,0,73,0,10,0,30,0
1,3,01.03.2005,2005,88,0,59,0,68,0,25,0,30,0
2,3,02.03.2005,2005,82,70,66,50,83,39,26,0,30,0
3,3,03.03.2005,2005,82,0,66,0,83,0,12,0,30,0
4,3,04.03.2005,2005,81,0,63,0,88,0,14,0,30,0
5,3,05.03.2005,2005,82,66,77,55,84,39,10,0,30,30
6,3,06.03.2005,2005,86,0,64,0,83,0,12,0,30,30
7,3,07.03.2005,2005,86,66,63,52,83,35,13,0,30,30
8,3,08.03.2005,2005,86,66,64,48,88,27,16,0,30,30
9,3,09.03.2005,2005,82,0,63,0,69,0,17,0,30,0
10,3,10.03.2005,2005,86,68,64,61,88,43,16,0,30,0
11,3,11.03.2005,2005,84,68,70,64,88,55,14,0,30,30
12,3,12.03.2005,2005,88,70,70,64,88,48,12,0,30,30
13,3,13.03.2005,2005,86,70,68,63,88,51,14,0,30,0
14,3,14.03.2005,2005,86,72,70,64,94,48,12,0,30,30
15,3,15.03.2005,2005,88,73,70,64,83,48,56,5,30,30
16,3,16.03.2005,2005,88,73,72,68,94,55,14,0,30,30
17,3,17.03.2005,2005,84,73,70,66,88,55,15,6,30,30
18,3,18.03.2005,2005,86,73,72,34,88,15,17,0,30,30
19,3,19.03.2005,2005,88,0,72,0,88,0,15,0,30,0
20,3,20.03.2005,2005,86,75,72,64,83,48,16,0,30,0
21,3,21.03.2005,2005,91,0,70,0,83,0,16,0,30,0
22,3,22.03.2005,2005,144,70,95,25,78,10,16,0,30,30
23,3,23.03.2005,2005,91,0,68,0,83,0,16,0,30,0
24,3,24.03.2005,2005,88,70,72,64,88,49,12,0,30,0
25,3,25.03.2005,2005,90,68,73,55,88,0,14,0,30,30
26,3,26.03.2005,2005,88,0,73,0,89,0,16,0,30,0
27,3,27.03.2005,2005,90,0,70,0,83,0,16,3,30,0
28,3,28.03.2005,2005,97,75,66,0,73,6,17,0,30,0
29,3,29.03.2005,2005,95,70,63,36,73,12,10,0,30,0
30,3,30.03.2005,2005,97,68,57,10,57,4,12,0,30,30
31,3,31.03.2005,2005,97,0,43,0,28,0,12,0,30,30
1,4,01.04.2005,2005,95,66,66,36,68,12,13,0,30,0
2,4,02.04.2005,2005,97,0,70,0,88,0,15,0,30,0
3,4,03.04.2005,2005,102,70,66,41,78,12,14,0,30,0
4,4,04.04.2005,2005,104,0,64,0,78,0,708,0,30,0
5,4,05.04.2005,2005,99,75,169,18,69,0,21,0,30,0
6,4,06.04.2005,2005,93,77,73,48,79,30,14,0,30,0
7,4,07.04.2005,2005,95,79,73,0,83,4,18,0,30,30
8,4,08.04.2005,2005,93,0,59,0,57,0,17,0,30,30
9,4,09.04.2005,2005,133,73,55,-22,53,1,17,0,30,30
10,4,10.04.2005,2005,91,72,50,1,44,5,81,0,30,0
11,4,11.04.2005,2005,95,66,41,10,35,4,10,0,30,30
12,4,12.04.2005,2005,99,68,52,0,31,5,16,0,30,0
13,4,13.04.2005,2005,95,68,64,34,58,17,12,0,30,0
14,4,14.04.2005,2005,97,73,70,54,78,23,14,0,30,30
15,4,15.04.2005,2005,102,73,66,36,73,11,16,0,30,0
16,4,16.04.2005,2005,100,0,66,0,68,0,14,0,30,0
17,4,17.04.2005,2005,100,73,68,50,83,22,16,0,30,0
18,4,18.04.2005,2005,95,75,68,50,73,22,17,0,30,30
19,4,19.04.2005,2005,91,75,73,66,83,49,14,6,30,30
20,4,20.04.2005,2005,91,77,75,55,89,47,14,3,30,0
21,4,21.04.2005,2005,99,79,75,59,84,27,16,0,30,0
22,4,22.04.2005,2005,91,79,73,70,83,49,18,5,30,0
23,4,23.04.2005,2005,91,77,75,72,89,55,14,0,30,30
24,4,24.04.2005,2005,91,0,73,0,89,0,14,0,30,0
25,4,25.04.2005,2005,90,79,75,72,89,55,16,6,30,30
26,4,26.04.2005,2005,93,79,75,72,84,52,15,3,30,0
27,4,27.04.2005,2005,93,72,77,73,89,0,18,0,30,0
28,4,28.04.2005,2005,172,79,75,63,89,6,18,0,30,30
29,4,29.04.2005,2005,91,79,75,72,83,52,16,0,30,30
30,4,30.04.2005,2005,93,75,75,70,100,49,87,7,30,30
1,5,01.05.2005,2005,91,79,75,70,83,49,18,0,30,30
2,5,02.05.2005,2005,93,79,75,70,83,46,14,0,30,0
3,5,03.05.2005,2005,93,81,75,70,79,46,14,0,30,30
4,5,04.05.2005,2005,91,79,75,70,79,49,16,3,30,30
5,5,05.05.2005,2005,95,81,73,66,79,39,16,0,30,0
6,5,06.05.2005,2005,91,81,77,73,84,59,16,0,30,0
7,5,07.05.2005,2005,108,81,77,59,84,22,17,6,30,0
8,5,08.05.2005,2005,91,81,72,64,70,41,17,7,30,0
9,5,09.05.2005,2005,104,77,73,0,89,0,16,0,30,0
10,5,10.05.2005,2005,99,77,72,61,74,29,16,0,30,0
11,5,11.05.2005,2005,97,81,73,68,79,39,17,0,30,0
12,5,12.05.2005,2005,95,81,73,61,74,32,21,7,30,30
13,5,13.05.2005,2005,95,0,73,0,70,0,21,5,30,0
14,5,14.05.2005,2005,95,81,77,70,79,47,15,6,30,0
15,5,15.05.2005,2005,100,77,75,59,84,32,28,0,30,30
16,5,16.05.2005,2005,93,81,77,72,79,52,12,0,30,0
17,5,17.05.2005,2005,91,81,75,70,84,52,17,0,30,0
18,5,18.05.2005,2005,95,82,79,73,89,55,14,0,30,0
19,5,19.05.2005,2005,95,82,79,73,84,56,14,5,30,0
20,5,20.05.2005,2005,99,84,81,72,79,44,15,0,30,0
21,5,21.05.2005,2005,93,82,79,75,84,56,17,0,30,0
22,5,22.05.2005,2005,93,82,79,73,84,55,21,0,30,30
23,5,23.05.2005,2005,97,82,77,70,84,41,15,0,30,0
24,5,24.05.2005,2005,95,82,77,73,84,49,14,5,30,0
25,5,25.05.2005,2005,95,82,75,72,79,47,16,0,30,0
26,5,26.05.2005,2005,97,82,77,73,79,53,17,0,30,30
27,5,27.05.2005,2005,95,77,81,73,89,56,17,0,30,0
28,5,28.05.2005,2005,95,82,77,59,79,40,18,0,30,0
29,5,29.05.2005,2005,97,82,75,59,66,38,20,0,30,0
30,5,30.05.2005,2005,97,82,77,64,70,36,18,0,30,0
31,5,31.05.2005,2005,100,0,79,0,84,0,18,0,30,30
1,6,01.06.2005,2005,97,84,77,72,79,44,18,0,30,0
2,6,02.06.2005,2005,95,82,79,73,84,53,21,0,30,30
3,6,03.06.2005,2005,95,84,79,75,84,53,20,8,30,0
4,6,04.06.2005,2005,95,82,77,75,84,53,23,0,30,0
5,6,05.06.2005,2005,95,84,79,73,84,49,23,0,30,0
6,6,06.06.2005,2005,99,84,79,73,79,50,112,0,29,0
7,6,07.06.2005,2005,97,84,81,72,79,53,16,0,29,0
8,6,08.06.2005,2005,93,81,82,75,94,56,16,0,29,0
9,6,09.06.2005,2005,95,84,79,73,84,49,17,0,30,0
10,6,10.06.2005,2005,93,84,77,73,79,52,20,0,30,0
11,6,11.06.2005,2005,95,82,95,68,84,0,18,0,30,29
12,6,12.06.2005,2005,93,84,79,68,79,55,18,0,30,0
13,6,13.06.2005,2005,95,81,77,64,74,49,16,0,30,30
14,6,14.06.2005,2005,97,0,77,0,79,0,15,0,30,0
15,6,15.06.2005,2005,95,0,77,0,79,0,18,9,30,0
16,6,16.06.2005,2005,93,0,79,0,79,0,20,8,30,0
17,6,17.06.2005,2005,93,84,77,75,79,56,101,8,30,0
18,6,18.06.2005,2005,93,84,79,75,79,56,14,0,29,0
19,6,19.06.2005,2005,95,0,79,0,84,0,15,0,29,0
20,6,20.06.2005,2005,102,84,79,73,79,44,20,0,29,0
21,6,21.06.2005,2005,104,86,82,77,79,42,9,0,0,0
22,6,22.06.2005,2005,108,0,81,0,79,0,16,0,29,0
23,6,23.06.2005,2005,100,88,81,43,79,21,14,0,29,0
24,6,24.06.2005,2005,95,86,79,75,79,53,25,0,29,0
25,6,25.06.2005,2005,97,0,81,0,84,0,18,0,29,0
26,6,26.06.2005,2005,95,0,95,0,79,0,16,0,0,0
27,6,27.06.2005,2005,95,86,81,75,79,56,15,0,0,0
28,6,28.06.2005,2005,93,86,79,73,79,52,14,0,29,0
29,6,29.06.2005,2005,95,86,81,75,74,53,17,0,0,0
30,6,30.06.2005,2005,95,86,81,77,79,56,18,0,0,0
1,7,01.07.2005,2005,95,86,79,77,79,56,22,0,29,0
2,7,02.07.2005,2005,91,86,77,68,74,46,15,0,0,0
3,7,03.07.2005,2005,91,73,79,75,79,0,18,8,29,0
4,7,04.07.2005,2005,91,84,77,75,79,59,16,0,29,0
5,7,05.07.2005,2005,91,86,79,77,79,63,15,0,0,0
6,7,06.07.2005,2005,95,84,147,75,84,0,16,0,30,0
7,7,07.07.2005,2005,93,84,77,73,79,52,16,0,30,29
8,7,08.07.2005,2005,93,84,75,73,74,52,16,0,30,0
9,7,09.07.2005,2005,93,0,77,0,84,0,15,0,30,0
10,7,10.07.2005,2005,93,84,75,73,74,52,20,0,30,29
11,7,11.07.2005,2005,91,84,77,73,79,55,144,0,30,0
12,7,12.07.2005,2005,91,84,75,72,74,52,18,0,30,0
13,7,13.07.2005,2005,91,81,77,75,89,59,15,0,30,0
14,7,14.07.2005,2005,93,82,77,72,79,49,16,0,30,0
15,7,15.07.2005,2005,93,82,77,72,79,49,23,0,30,29
16,7,16.07.2005,2005,90,82,77,75,84,62,18,0,30,29
17,7,17.07.2005,2005,90,81,81,73,94,59,17,0,30,30
18,7,18.07.2005,2005,91,81,77,75,84,59,18,8,30,0
19,7,19.07.2005,2005,90,81,79,72,94,55,23,0,30,29
20,7,20.07.2005,2005,88,82,91,72,84,0,26,12,30,29
21,7,21.07.2005,2005,90,82,79,73,79,59,21,0,30,0
22,7,22.07.2005,2005,91,82,77,73,79,59,20,0,30,0
23,7,23.07.2005,2005,90,81,75,72,84,55,21,9,29,0
24,7,24.07.2005,2005,90,77,84,73,94,59,17,0,30,0
25,7,25.07.2005,2005,91,81,77,72,89,55,29,0,30,0
26,7,26.07.2005,2005,91,82,75,72,79,52,28,0,0,0
27,7,27.07.2005,2005,88,82,75,73,79,62,16,0,29,0
28,7,28.07.2005,2005,91,82,75,73,79,55,18,8,29,0
29,7,29.07.2005,2005,86,81,77,73,89,70,18,9,29,0
30,7,30.07.2005,2005,93,82,77,75,84,56,14,1,29,0
31,7,31.07.2005,2005,91,82,75,75,79,59,16,0,29,0
1,8,01.08.2005,2005,93,0,75,0,79,0,15,0,29,0
2,8,02.08.2005,2005,88,82,77,73,84,66,14,0,29,0
3,8,03.08.2005,2005,91,81,79,75,89,59,17,0,29,0
4,8,04.08.2005,2005,91,82,75,73,79,59,115,0,30,0
5,8,05.08.2005,2005,90,82,75,73,79,59,21,8,29,0
6,8,06.08.2005,2005,88,82,75,72,79,58,18,0,0,0
7,8,07.08.2005,2005,95,81,75,72,84,49,16,0,29,0
8,8,08.08.2005,2005,90,81,77,73,89,59,15,3,30,0
9,8,09.08.2005,2005,91,0,75,0,84,0,16,0,30,0
10,8,10.08.2005,2005,91,82,77,72,84,52,16,6,30,0
11,8,11.08.2005,2005,86,0,75,0,79,0,16,0,30,0
12,8,12.08.2005,2005,88,82,77,73,84,62,921,0,30,0
13,8,13.08.2005,2005,88,75,77,73,100,66,13,0,30,0
14,8,14.08.2005,2005,90,82,75,73,79,59,16,0,30,0
15,8,15.08.2005,2005,88,81,75,72,84,58,17,0,30,0
16,8,16.08.2005,2005,88,82,75,73,79,62,14,0,30,29
17,8,17.08.2005,2005,100,81,75,70,84,39,14,0,30,0
18,8,18.08.2005,2005,88,81,77,75,84,66,13,0,30,29
19,8,19.08.2005,2005,90,82,75,73,79,59,21,0,30,0
20,8,20.08.2005,2005,91,82,75,72,79,52,18,0,30,30
21,8,21.08.2005,2005,93,82,75,72,79,49,18,0,30,0
22,8,22.08.2005,2005,90,0,75,0,79,0,16,9,30,30
23,8,23.08.2005,2005,90,0,75,0,79,0,16,0,30,30
24,8,24.08.2005,2005,88,81,77,72,79,58,23,0,30,30
25,8,25.08.2005,2005,88,81,77,70,89,55,23,0,30,0
26,8,26.08.2005,2005,88,81,75,73,84,62,20,0,30,30
27,8,27.08.2005,2005,84,81,75,73,84,70,22,0,30,30
28,8,28.08.2005,2005,90,81,75,73,84,59,14,0,30,30
29,8,29.08.2005,2005,90,81,75,68,84,49,15,0,30,0
30,8,30.08.2005,2005,90,81,73,70,79,52,16,6,30,0
31,8,31.08.2005,2005,90,81,73,68,79,49,14,0,30,30
1,9,01.09.2005,2005,90,79,73,68,83,49,12,3,30,0
2,9,02.09.2005,2005,90,79,73,72,83,55,14,8,30,30
3,9,03.09.2005,2005,90,81,75,72,84,55,18,0,30,30
4,9,04.09.2005,2005,95,0,75,0,79,0,15,7,30,0
5,9,05.09.2005,2005,93,81,75,70,79,46,91,0,30,0
6,9,06.09.2005,2005,95,81,75,72,79,47,18,9,30,30
7,9,07.09.2005,2005,93,81,75,73,84,52,58,0,30,0
8,9,08.09.2005,2005,90,81,75,72,84,55,16,0,30,30
9,9,09.09.2005,2005,97,81,79,73,79,47,18,0,30,0
10,9,10.09.2005,2005,82,0,82,0,100,0,20,0,30,0
11,9,11.09.2005,2005,95,79,86,75,100,56,69,0,30,0
12,9,12.09.2005,2005,99,81,77,75,89,47,15,0,30,0
13,9,13.09.2005,2005,100,84,77,64,74,34,28,0,30,0
14,9,14.09.2005,2005,100,88,75,68,62,35,30,0,30,0
15,9,15.09.2005,2005,97,86,73,68,66,39,30,0,30,29
16,9,16.09.2005,2005,95,84,73,68,66,44,25,9,30,0
17,9,17.09.2005,2005,91,82,77,73,79,59,16,0,30,30
18,9,18.09.2005,2005,90,82,75,73,79,59,14,0,30,0
19,9,19.09.2005,2005,95,0,75,0,84,0,16,0,30,0
20,9,20.09.2005,2005,97,84,77,70,79,41,14,5,30,0
21,9,21.09.2005,2005,97,81,77,72,84,44,15,6,30,30
22,9,22.09.2005,2005,97,81,77,73,84,47,16,0,30,0
23,9,23.09.2005,2005,93,81,75,73,84,52,15,0,30,0
24,9,24.09.2005,2005,88,81,75,73,84,62,18,0,30,30
25,9,25.09.2005,2005,90,81,75,72,84,58,18,0,30,30
26,9,26.09.2005,2005,88,0,75,0,84,0,16,5,30,30
27,9,27.09.2005,2005,90,81,75,68,84,49,460,0,30,0
28,9,28.09.2005,2005,91,77,73,68,89,46,12,0,30,0
29,9,29.09.2005,2005,91,0,73,0,79,0,12,5,30,0
30,9,30.09.2005,2005,91,77,73,70,89,49,14,0,30,30
1,10,01.10.2005,2005,90,77,73,70,83,55,14,0,30,30
2,10,02.10.2005,2005,88,79,73,70,83,55,12,0,30,0
3,10,03.10.2005,2005,88,79,72,68,74,52,35,3,30,30
4,10,04.10.2005,2005,93,79,72,63,74,36,15,6,30,0
5,10,05.10.2005,2005,90,77,72,68,83,49,14,0,30,0
6,10,06.10.2005,2005,90,77,72,70,83,52,14,5,30,0
7,10,07.10.2005,2005,90,79,73,72,79,55,15,0,30,30
8,10,08.10.2005,2005,90,79,73,70,83,55,14,5,30,30
9,10,09.10.2005,2005,90,79,73,70,83,55,17,7,30,30
10,10,10.10.2005,2005,91,79,75,66,89,43,16,0,30,0
11,10,11.10.2005,2005,90,0,75,0,83,0,15,0,30,30
12,10,12.10.2005,2005,95,81,73,54,79,25,18,0,30,0
13,10,13.10.2005,2005,99,0,68,0,83,0,46,0,30,0
14,10,14.10.2005,2005,100,0,63,0,61,0,12,0,30,0
15,10,15.10.2005,2005,100,0,57,0,47,0,14,0,30,0
16,10,16.10.2005,2005,102,0,63,0,51,0,9,0,30,30
17,10,17.10.2005,2005,102,0,64,0,58,0,9,0,30,0
18,10,18.10.2005,2005,102,75,64,43,65,13,12,0,30,0
19,10,19.10.2005,2005,99,0,70,0,74,0,12,0,30,0
20,10,20.10.2005,2005,97,0,55,0,53,0,9,0,30,30
21,10,21.10.2005,2005,99,70,66,41,78,14,10,0,30,0
22,10,22.10.2005,2005,93,70,75,52,89,26,10,0,30,0
23,10,23.10.2005,2005,91,0,73,0,94,0,17,0,30,0
24,10,24.10.2005,2005,97,0,73,0,94,0,12,0,30,0
25,10,25.10.2005,2005,93,0,82,0,100,0,14,0,30,0
26,10,26.10.2005,2005,97,0,72,0,83,0,12,0,30,0
27,10,27.10.2005,2005,99,0,72,0,89,0,9,0,30,30
28,10,28.10.2005,2005,97,70,64,45,54,18,10,0,30,0
29,10,29.10.2005,2005,97,0,63,0,65,0,10,0,30,30
30,10,30.10.2005,2005,95,0,73,0,83,0,12,0,30,0
31,10,31.10.2005,2005,99,0,72,0,94,0,16,0,30,0
1,11,01.11.2005,2005,95,0,73,0,83,0,6,0,30,0
2,11,02.11.2005,2005,91,57,75,52,94,29,9,0,30,0
3,11,03.11.2005,2005,91,0,72,0,88,0,0,0,30,30
4,11,04.11.2005,2005,93,72,63,45,61,19,10,0,30,30
5,11,05.11.2005,2005,93,68,61,46,60,23,6,0,30,0
6,11,06.11.2005,2005,93,0,63,0,69,0,5,0,30,30
7,11,07.11.2005,2005,93,66,63,39,69,15,12,0,30,0
8,11,08.11.2005,2005,93,66,66,50,73,24,8,0,30,30
9,11,09.11.2005,2005,95,66,70,48,83,20,7,0,30,0
10,11,10.11.2005,2005,90,0,72,0,100,0,9,0,30,30
11,11,11.11.2005,2005,90,0,72,0,83,0,13,0,30,0
12,11,12.11.2005,2005,88,70,70,61,100,43,12,0,30,30
13,11,13.11.2005,2005,91,70,68,54,88,28,13,0,30,0
14,11,14.11.2005,2005,91,70,68,55,78,29,9,0,30,0
15,11,15.11.2005,2005,93,70,72,46,88,21,10,0,30,30
16,11,16.11.2005,2005,95,68,68,52,88,24,8,0,30,30
17,11,17.11.2005,2005,91,70,64,45,65,21,8,0,30,0
18,11,18.11.2005,2005,91,66,66,52,68,28,14,0,30,0
19,11,19.11.2005,2005,90,0,63,0,73,0,12,0,30,0
20,11,20.11.2005,2005,88,0,68,0,83,0,9,0,30,0
21,11,21.11.2005,2005,88,0,70,0,88,0,9,0,30,0
22,11,22.11.2005,2005,91,68,70,57,94,35,10,0,30,0
23,11,23.11.2005,2005,91,68,77,41,88,17,12,0,30,0
